year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,pctWhiteNH
2016,ALABAMA,AL,AUTAUGA,01001,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5936,24973,20220315,TOTAL,77.2461563834271
2016,ALABAMA,AL,BALDWIN,01003,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,18458,95215,20220315,TOTAL,83.50478698598195
2016,ALABAMA,AL,BARBOUR,01005,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4871,10469,20220315,TOTAL,46.75310485486397
2016,ALABAMA,AL,BIBB,01007,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1874,8819,20220315,TOTAL,75.02072878027492
2016,ALABAMA,AL,BLOUNT,01009,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2156,25588,20220315,TOTAL,88.88733819475942
2016,ALABAMA,AL,BULLOCK,01011,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3530,4710,20220315,TOTAL,21.916804104819498
2016,ALABAMA,AL,BUTLER,01013,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3726,8732,20220315,TOTAL,54.06024729078149
2016,ALABAMA,AL,CALHOUN,01015,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,13242,47864,20220315,TOTAL,73.61350065782815
2016,ALABAMA,AL,CHAMBERS,01017,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5784,13900,20220315,TOTAL,58.14116615519509
2016,ALABAMA,AL,CHEROKEE,01019,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1547,10733,20220315,TOTAL,92.07356958713302
2016,ALABAMA,AL,CHILTON,01021,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2911,18369,20220315,TOTAL,81.10120752468896
2016,ALABAMA,AL,CHOCTAW,01023,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3109,7292,20220315,TOTAL,55.55956418211993
2016,ALABAMA,AL,CLARKE,01025,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5749,13031,20220315,TOTAL,53.97359965935045
2016,ALABAMA,AL,CLAY,01027,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1237,6624,20220315,TOTAL,80.289979902383
2016,ALABAMA,AL,CLEBURNE,01029,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,684,6593,20220315,TOTAL,93.21399946566925
2016,ALABAMA,AL,COFFEE,01031,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4221,20767,20220315,TOTAL,72.3432369664451
2016,ALABAMA,AL,COLBERT,01033,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7312,24915,20220315,TOTAL,79.61710884103769
2016,ALABAMA,AL,CONECUH,01035,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3080,6585,20220315,TOTAL,51.133958270335654
2016,ALABAMA,AL,COOSA,01037,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1782,5252,20220315,TOTAL,65.89825808128954
2016,ALABAMA,AL,COVINGTON,01039,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2387,15940,20220315,TOTAL,84.07520190652721
2016,ALABAMA,AL,CRENSHAW,01041,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1664,6267,20220315,TOTAL,72.05522795915432
2016,ALABAMA,AL,CULLMAN,01043,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3798,37873,20220315,TOTAL,92.73934780986494
2016,ALABAMA,AL,DALE,01045,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4413,18749,20220315,TOTAL,71.0533123718931
2016,ALABAMA,AL,DALLAS,01047,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,12836,18792,20220315,TOTAL,28.927430397078957
2016,ALABAMA,AL,DEKALB,01049,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3622,25826,20220315,TOTAL,81.56070258335795
2016,ALABAMA,AL,ELMORE,01051,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,8443,37260,20220315,TOTAL,74.96437713579563
2016,ALABAMA,AL,ESCAMBIA,01053,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4605,14845,20220315,TOTAL,61.348156267125965
2016,ALABAMA,AL,ETOWAH,01055,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10442,44164,20220315,TOTAL,79.27702767404003
2016,ALABAMA,AL,FAYETTE,01057,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1362,8249,20220315,TOTAL,86.0274926048373
2016,ALABAMA,AL,FRANKLIN,01059,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2197,12040,20220315,TOTAL,79.63979308604593
2016,ALABAMA,AL,GENEVA,01061,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1525,11758,20220315,TOTAL,84.70324748040314
2016,ALABAMA,AL,GREENE,01063,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4013,4880,20220315,TOTAL,17.26920950801548
2016,ALABAMA,AL,HALE,01065,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4775,8040,20220315,TOTAL,39.42258883248731
2016,ALABAMA,AL,HENRY,01067,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2292,8072,20220315,TOTAL,67.80141024159056
2016,ALABAMA,AL,HOUSTON,01069,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10664,42639,20220315,TOTAL,68.66869528395718
2016,ALABAMA,AL,JACKSON,01071,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3673,20984,20220315,TOTAL,90.06143498600335
2016,ALABAMA,AL,JEFFERSON,01073,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,156873,304191,20220315,TOTAL,51.667512065922914
2016,ALABAMA,AL,LAMAR,01075,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1036,6966,20220315,TOTAL,86.11645152430651
2016,ALABAMA,AL,LAUDERDALE,01077,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,9952,39525,20220315,TOTAL,85.45880119513747
2016,ALABAMA,AL,LAWRENCE,01079,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3627,14829,20220315,TOTAL,76.93875768077113
2016,ALABAMA,AL,LEE,01081,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,21230,59191,20220315,TOTAL,69.80541473257895
2016,ALABAMA,AL,LIMESTONE,01083,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,9468,40294,20220315,TOTAL,78.65478002464303
2016,ALABAMA,AL,LOWNDES,01085,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4883,6684,20220315,TOTAL,25.143818036994425
2016,ALABAMA,AL,MACON,01087,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,7566,9140,20220315,TOTAL,15.229349244825658
2016,ALABAMA,AL,MADISON,01089,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,62822,163389,20220315,TOTAL,66.14030004987889
2016,ALABAMA,AL,MARENGO,01091,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,5615,10994,20220315,TOTAL,45.68887620678176
2016,ALABAMA,AL,MARION,01093,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1432,12984,20220315,TOTAL,92.63387054847934
2016,ALABAMA,AL,MARSHALL,01095,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4917,35316,20220315,TOTAL,83.91833926402133
2016,ALABAMA,AL,MOBILE,01097,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,72186,172737,20220315,TOTAL,59.057802572446924
2016,ALABAMA,AL,MONROE,01099,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4332,10271,20220315,TOTAL,54.71215536674181
2016,ALABAMA,AL,MONTGOMERY,01101,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,58916,95878,20220315,TOTAL,38.41029285455806
2016,ALABAMA,AL,MORGAN,01103,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,11254,50644,20220315,TOTAL,77.48347142020253
2016,ALABAMA,AL,PERRY,01105,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3824,5278,20220315,TOTAL,29.66669813993013
