ResponseID,StartDate,EndDate,Finished,isAppointer,isClaimant,isRespondent,isOutcome,isOrder,iiAppointer,iiClaimant,iiRespondent,iiOutcome,iiDamages,ConsentForm,InvestorStateSeen,isShareFeesRespondent,isClaimantReimbursesAll,isClaimantReimbursesSome,isSplitExpenses,isRespondentReimbursesSome,isRespondentReimbursesAll,isRespondentReimbursesAll2,isRespondentReimbursesSome2,isSplitExpenses2,isClaimantReimbursesSome2,isClaimantReimbursesAll2,isOpenEnded,iiShown,iiClaimantDamages,iiShareFeesRespondent,iiClaimantReimbursesAll,iiClaimantReimbursesSome,iiSplitExpenses,iiRespondentReimbursesSome,iiRespondentReimbursesAll,iiRespondentReimbursesAll2,iiRespondentReimbursesSome2,iiSplitExpenses2,iiClaimantReimbursesSome2,iiClaimantReimbursesAll2,iiOpenEnded,backgroundShown,genderMale,genderFemale,anyUS,anyCommon,anyCivil,employmentPrivate,employmentProfessor,employmentGovt,employmentOther,employmentCoded,educationCoded,educationAnswered,numArbitrations0,numArbitrations1Plus,isDisputeYes,isDisputeNo,randomizer,RowID,isReimbursement,isWinner,isAppointerSide,isReimbursementFolded,isSplit,isSome,isAll,isAny
R_zZqqWxi2HRqa3jX,10/27/2015 13:09,10/27/2015 13:15,1,Parties,a high income economy,a low income economy,Claimant without legal merit,0,by the parties.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,On the basis of costs follow the event,1,2034040,100,NA,NA,NA,NA,NA,0,0,0,0,1,"Again, costs follow the event",1,1,0,0,1,0,1,0,0,0,Private,Master's,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,1,1,Respondent,Parties,5,0,0,1,1
R_zVhoxMNuBBQHXAB,10/23/2015 20:02,10/23/2015 20:08,1,Respondent,a middle income economy,a middle income economy,Claimant wins,1,by the respondent.,modest but growing local company in an emerging economy country,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,75,0,0,0,1,0,0,1,0,0,0,NA,1,2034040,100,NA,NA,NA,NA,NA,1,0,0,0,0,NA,1,1,0,1,1,0,1,0,0,0,Private,Master's,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,2,4,Claimant,Appointed by Loser,4,0,1,0,1
R_ZvCOPyDSnN3vipz,10/27/2015 12:48,10/27/2015 13:02,1,Respondent,a high income economy,a middle income economy,Respondent wins,0,by the respondent.,modest but growing local company in an emerging economy country,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,80,1,0,0,0,0,NA,NA,NA,NA,NA,It is because it was submitted by both parties that full costs should be borne by the losing party.,1,1850000,100,NA,NA,NA,NA,NA,0,1,0,0,0,The losing party ought to bear the expenses because it had opportunity to have resolved the matter amicably before the Claimant initiated the arbitration proceedings.,1,1,0,0,1,0,1,0,0,0,Private,Bachelor's,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,3,1,Respondent,Appointed by Winner,5,0,0,1,1
R_Zk3fAEXi8hpeUqB,10/23/2015 15:47,10/23/2015 15:59,1,Claimant,a middle income economy,a low income economy,Respondent wins,0,by the claimant.,Fortune 500 company,Fortune 500 company,unanimously,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,50,0,0,1,0,0,NA,NA,NA,NA,NA,There is no reference to ICSID Rule 41(5) so it must be assumed that this was not a frivolous claim. The cost of defending a normal claim is part of having a BIT and attracting investment.,1,-88,100,0,0,0,0,1,NA,NA,NA,NA,NA,Not enough information to get a fix on the damages -- there are multiple contract clauses and it isn't stated which breach caused what damages. /,1,0,1,1,1,0,1,0,0,0,Private,JD,1,1,0,0,1,Investor-State Vignette|Investor-Investor Vignette,5,3,Respondent,Appointed by Loser,3,1,0,0,0
R_YYL0HViGZ4YV0U9,10/29/2015 6:25,10/29/2015 6:38,1,Respondent,a high income economy,a low income economy,Outside jurisdiction,1,by the respondent.,Fortune 500 company,Fortune 500 company,unanimously,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,0,1,0,0,0,0,0,0,0,0,1,It is only fair that the claimant who initiated the proceedings at a place where no jurisdiction exists bears the whole risk of the proceedings. This is also normal in state courts. Why should have respondent to bear any costs. It was only by the decision of claimant that these proceedings were initated.,1,1059307,24,NA,NA,NA,NA,NA,0,0,0,1,0,"We do not know what the claiment in its prayer for reliefe claimed. However, if we assume it was the amount the expert of claimant argued for then claimend was claiming far too much. Concerning the proofs at hand only the 1 Mio is proven for sure the rest is difficult to asses. Hence, with no further arguments I would say the court can award 1 Mio. Hence, the claimant is receiving 1 Mio. but asked for 4 hence has to bear the majority of the costs.",1,1,0,0,0,1,1,0,0,0,Private,Doctorate,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,9,1,Respondent,Appointed by Winner,5,0,0,1,1
R_ywJtgbw1nE9bLcR,10/29/2015 14:20,10/29/2015 14:47,1,Respondent,a middle income economy,a middle income economy,Claimant without legal merit,0,by the respondent.,Fortune 500 company,modest but growing local company in an emerging economy country,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,"Costs follow the event is and should be the prevailing rule, even for investment treaty arbitration. Rule 41(5) dismissal constitutes total success for the Respondent. Only the unreasonableness of the amount of the Respondent's expenses or other exceptional circumstances would justify anything less than 100% recovery by the Respondent. No such circumstances are mentioned.",1,2034040,100,0,0,0,0,1,NA,NA,NA,NA,NA,"Same reasoning as prior question, but for greater absence of details as to factors which might suggest a lesser recovery by the Claimant.",1,1,0,NA,NA,NA,0,0,0,1,Public,JD,1,1,0,0,1,Investor-State Vignette|Investor-Investor Vignette,11,1,Respondent,Appointed by Winner,5,0,0,1,1
R_yqqE1JtiKMH9iBH,10/27/2015 12:38,10/27/2015 12:39,0,Claimant,a middle income economy,a middle income economy,Claimant without legal merit,0,by the claimant.,Fortune 500 company,Fortune 500 company,by majority,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Investor-State Vignette|Investor-Investor Vignette,12,NA,Respondent,Appointed by Loser,NA,NA,NA,NA,NA
R_yCOWpFKqOkw1vR7,10/27/2015 13:48,10/27/2015 14:11,1,Blind,a middle income economy,a middle income economy,Respondent wins,1,.,modest but growing local company in an emerging economy country,Fortune 500 company,unanimously,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,25,0,0,1,0,0,0,0,1,0,0,"While more information would be helpful in coming to a decision, in the abstract it seems fair that Claimant should bear a greater than 50% responsibility for fees of the Centre and the tribunal.  Claimant brought proceedings on a claim that was ultimately found not to have been established, and in so doing inflicted financial costs of Respondent.  On the other hand, both parties benefited from the availability of the process to resolve their disputes (one perhaps more directly than the other), and it seems likely that Claimant may have prevailed on at least some issues, such as jurisdiction.  Thus, it may not be equitable to require Claimant to pay all of these costs.  With respect to counsel fees, these are typically much greater than those of the arbitrators.  At first blush, one might conclude that, because these represent a much higher cost to Respondent as a result of the unsuccessful proceedings than do the Centre's and arbitrator's fees, the reasoning above would, a fortiori, require Claimant to pay all or at least part of them.  On the other hand, there are much greater uncertainties with respect to counsel fees, including reasonableness of the basis for the charges, reasonableness of the work done, the extent to which the parties were successful on particular issues, etc.  In addition, the potential risk of having to pay the other side's very large counsel fees may have a very strong chilling effect on Claimants who have good arguable claims, but cannot afford to undertake such a high exposure in order to present them - particularly as the investor-state dispute resolutino process entails a fairly high degree of uncertainty.  In light of these factors, I would be reluctant to require one side to reimburse the other's legal fees in a case where the first party was ""merely"" unsuccessful as to the merits of its claims.",1,2034040,75,0,0,1,0,0,NA,NA,NA,NA,NA,"With respect to fees of the ICC and the arbitrators, the same reasoning applies as with respect to the previous question: ordinarily a majority, but not all, of those expenses ought to be borne by the non-prevailing party.  With respect to apportionment of attorney fees, I would normally follow the so-called ""American Rule"" - that the prevailing party does not recover attorneys' fees unless there is a substantive legal basis (such as contractual provision or provision under applicable substantive law) for doing so - for essentially the same policy reasons as discussed in the preceding answer.",1,1,0,1,1,0,1,0,0,0,Private,JD,1,0,1,0,1,Investor-State Vignette|Investor-Investor Vignette,14,3,Respondent,Blind,3,1,0,0,0
R_YboViFBwLkcMhmV,10/28/2015 7:49,10/28/2015 8:18,1,Blind,a high income economy,a low income economy,Claimant without legal merit,0,.,Fortune 500 company,Fortune 500 company,unanimously,"agreed on an independent expert randomly selected from a pool of qualified experts who calculated damages for US$2,034,040.00.",1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,"I expect the claimant to be fully grasped with what it is claiming and by going to ICSID, it must be prepared to bear the full costs of its 'enterprise'. In this regard, it must pay for the full costs.",1,2034040,100,0,0,1,0,0,NA,NA,NA,NA,NA,I had acted as an independent reviewer and the amount I came up with was unanimously adopted by the parties. / The costs of the engagement of the counsels should be borne by the engaging party. / The losing party should bear the cost of the arbitration administration handled by ICC.,1,1,0,0,1,0,1,0,0,0,Private,Master's,1,0,1,0,1,Investor-Investor Vignette|Investor-State Vignette,15,1,Respondent,Blind,5,0,0,1,1
R_Y6AdCFpEyiw4N5T,10/28/2015 4:56,10/28/2015 5:12,1,Blind,a middle income economy,a middle income economy,Respondent wins,1,.,Fortune 500 company,modest but growing local company in an emerging economy country,by majority,"each presented equally credible witnesses. The claimant’s expert calculated damages for US$4,002,100.00. The respondent’s expert calculated damages for US$1,059,307.00.",1,1,0,1,0,0,0,0,0,0,0,0,1,Claimant asked for something it had not the right to ask for. It lost the case and shall pay for it.,1,-88,100,0,0,0,0,1,NA,NA,NA,NA,NA,"If respondent did not comply to its duties it shall pay damages; respondet lost the case, thus it shall pay the costs. / I felt I dis not have sufficient information about the amount of losses as the story was told. I would read both experts evaluations and see if I agreed totally or partially",1,1,0,NA,NA,NA,1,0,0,0,Private,Doctorate,1,0,1,1,0,Investor-Investor Vignette|Investor-State Vignette,16,1,Respondent,Blind,5,0,0,1,1
