trumpApprove,commonweight,birthyr,gender,race,hispanic,educ,region,age_bin,gender_bin,race_bin,educ_bin,party_id,inputstate
1,0.782510349348988,1966,1,1,2,4,1,45-64,Male,White,Some college,2,9
NA,1.34442448982806,1955,2,1,2,6,3,65+,Female,White,Postgraduate,1,12
0,0.405519578474552,1946,2,1,2,5,2,65+,Female,White,College degree,3,19
0,0.957734400621579,1962,2,1,2,5,1,45-64,Female,White,College degree,1,25
0,0.194664797483102,1967,1,1,2,5,2,45-64,Male,White,College degree,3,17
1,1.05691370970178,1961,1,1,2,3,2,45-64,Male,White,Some college,2,39
0,0.757809851758096,1950,1,2,2,3,3,65+,Male,Black,Some college,5,51
1,1.16203898529407,1947,2,1,2,3,2,65+,Female,White,Some college,3,46
1,0.845829467512659,1970,2,1,2,2,2,45-64,Female,White,H.S. or less,2,39
0,0.918797307820052,1963,2,1,2,5,1,45-64,Female,White,College degree,1,36
0,0.934610607311337,1966,2,1,2,5,3,45-64,Female,White,College degree,1,51
0,0.953091369690824,1961,2,1,2,5,3,45-64,Female,White,College degree,1,48
0,0.442189810058291,1959,1,1,2,3,2,45-64,Male,White,Some college,1,18
0,0.874408300254348,1959,2,1,2,4,4,45-64,Female,White,Some college,1,6
1,1.21546432162716,1960,1,1,2,3,2,45-64,Male,White,Some college,2,26
0,0.859311645459309,1961,1,1,2,4,3,45-64,Male,White,Some college,4,13
1,2.40862921258308,1950,2,1,2,4,3,65+,Female,White,Some college,2,5
0,0.254498085028068,1946,1,2,2,5,2,65+,Male,Black,College degree,1,17
0,0.605900423376347,1963,2,2,2,6,3,45-64,Female,Black,Postgraduate,1,22
0,0.538410827258994,1984,1,1,2,5,1,30-44,Male,White,College degree,3,25
0,0.509102083509276,1984,2,1,2,5,4,30-44,Female,White,College degree,1,53
1,0.310451850428846,1972,2,2,2,3,3,45-64,Female,Black,Some college,3,13
0,0.474863023496719,1948,2,1,2,3,4,65+,Female,White,Some college,1,4
0,0.810306408162942,1950,2,1,2,6,2,65+,Female,White,Postgraduate,1,20
0,0.988547458420859,1934,2,1,2,6,4,65+,Female,White,Postgraduate,1,6
0,1.07033014703501,1971,2,1,2,3,4,45-64,Female,White,Some college,1,6
0,0.634071246291894,1957,2,1,2,3,4,45-64,Female,White,Some college,1,6
0,0.558006578451732,1978,2,1,2,3,1,30-44,Female,White,Some college,1,9
1,0.707786317236961,1964,2,1,2,2,4,45-64,Female,White,H.S. or less,3,53
0,1.45445093050542,1946,1,1,2,4,2,65+,Male,White,Some college,4,39
1,0.922466066561519,1948,1,1,2,3,2,65+,Male,White,Some college,3,29
